date,place_category,change_from_baseline
2020-04-10,grocery_pharmacy,-28
2020-04-10,parks,-37
2020-04-10,transit_stations,-64
2020-04-10,workplaces,-60
2020-04-10,residential,24
2020-04-10,retail_recreation_avg,-36.86
2020-04-10,grocery_pharmacy_avg,-19.71
2020-04-10,parks_avg,-35.86
2020-04-10,transit_stations_avg,-54.71
2020-04-10,workplaces_avg,-34.57
2020-04-10,residential_avg,16.29
2020-04-11,retail_recreation,-43
2020-04-11,grocery_pharmacy,-24
2020-04-11,parks,-46
2020-04-11,transit_stations,-59
2020-04-11,workplaces,-30
2020-04-11,residential,17
2020-04-11,retail_recreation_avg,-37.29
2020-04-11,grocery_pharmacy_avg,-20.29
2020-04-11,parks_avg,-36
2020-04-11,transit_stations_avg,-55.43
2020-04-11,workplaces_avg,-35.29
2020-04-11,residential_avg,16.57
2020-04-12,retail_recreation,-46
2020-04-12,grocery_pharmacy,-27
2020-04-12,parks,-50
2020-04-12,transit_stations,-61
2020-04-12,workplaces,-17
2020-04-12,residential,15
2020-04-12,retail_recreation_avg,-37.71
2020-04-12,grocery_pharmacy_avg,-20.71
2020-04-12,parks_avg,-36
2020-04-12,transit_stations_avg,-55.86
2020-04-12,workplaces_avg,-35.29
2020-04-12,residential_avg,16.71
2020-04-13,retail_recreation,-33
2020-04-13,grocery_pharmacy,-19
2020-04-13,parks,-29
2020-04-13,transit_stations,-56
2020-04-13,workplaces,-35
2020-04-13,residential,17
2020-04-13,retail_recreation_avg,-37.57
2020-04-13,grocery_pharmacy_avg,-20.57
2020-04-13,parks_avg,-35.71
2020-04-13,transit_stations_avg,-56.14
2020-04-13,workplaces_avg,-35.43
2020-04-13,residential_avg,16.86
2020-04-14,retail_recreation,-34
2020-04-14,grocery_pharmacy,-19
2020-04-14,parks,-29
2020-04-14,transit_stations,-54
2020-04-14,workplaces,-36
2020-04-14,residential,16
2020-04-14,retail_recreation_avg,-37.71
2020-04-14,grocery_pharmacy_avg,-21
2020-04-14,parks_avg,-35.57
2020-04-14,transit_stations_avg,-56.57
2020-04-14,workplaces_avg,-35.57
2020-04-14,residential_avg,17
2020-04-15,retail_recreation,-35
2020-04-15,grocery_pharmacy,-19
2020-04-15,parks,-29
2020-04-15,transit_stations,-55
2020-04-15,workplaces,-36
2020-04-15,residential,17
2020-04-15,retail_recreation_avg,-37.86
2020-04-15,grocery_pharmacy_avg,-21.29
2020-04-15,parks_avg,-35.43
2020-04-15,transit_stations_avg,-57
2020-04-15,workplaces_avg,-35.57
2020-04-15,residential_avg,17.29
2020-04-16,retail_recreation,-34
2020-04-16,grocery_pharmacy,-18
2020-04-16,parks,-29
2020-04-16,transit_stations,-56
2020-04-16,workplaces,-36
2020-04-16,residential,17
2020-04-16,retail_recreation_avg,-38.29
2020-04-16,grocery_pharmacy_avg,-22
2020-04-16,parks_avg,-35.57
2020-04-16,transit_stations_avg,-57.86
2020-04-16,workplaces_avg,-35.71
2020-04-16,residential_avg,17.57
2020-04-17,retail_recreation,-38
2020-04-17,grocery_pharmacy,-23
2020-04-17,parks,-35
2020-04-17,transit_stations,-58
2020-04-17,workplaces,-35
2020-04-17,residential,18
2020-04-17,retail_recreation_avg,-37.57
2020-04-17,grocery_pharmacy_avg,-21.29
2020-04-17,parks_avg,-35.29
2020-04-17,transit_stations_avg,-57
2020-04-17,workplaces_avg,-32.14
2020-04-17,residential_avg,16.71
2020-04-18,retail_recreation,-43
2020-04-18,grocery_pharmacy,-25
2020-04-18,parks,-46
2020-04-18,transit_stations,-58
2020-04-18,workplaces,-24
2020-04-18,residential,15
2020-04-18,retail_recreation_avg,-37.57
2020-04-18,grocery_pharmacy_avg,-21.43
2020-04-18,parks_avg,-35.29
2020-04-18,transit_stations_avg,-56.86
2020-04-18,workplaces_avg,-31.29
2020-04-18,residential_avg,16.43
2020-04-19,retail_recreation,-45
2020-04-19,grocery_pharmacy,-26
2020-04-19,parks,-49
2020-04-19,transit_stations,-60
2020-04-19,workplaces,-14
2020-04-19,residential,14
2020-04-19,retail_recreation_avg,-37.43
2020-04-19,grocery_pharmacy_avg,-21.29
2020-04-19,parks_avg,-35.14
2020-04-19,transit_stations_avg,-56.71
2020-04-19,workplaces_avg,-30.86
2020-04-19,residential_avg,16.29
2020-04-20,retail_recreation,-34
2020-04-20,grocery_pharmacy,-19
2020-04-20,parks,-29
2020-04-20,transit_stations,-56
2020-04-20,workplaces,-34
2020-04-20,residential,16
2020-04-20,retail_recreation_avg,-37.57
2020-04-20,grocery_pharmacy_avg,-21.29
2020-04-20,parks_avg,-35.14
2020-04-20,transit_stations_avg,-56.71
